time,pitch_1 (°),roll_1 (°),range_1 (mm),pitch_2 (°),roll_2 (°),range_2 (mm)
2025/4/14 11:52:20,36.39,-13.05,13,84.76,19.44,9
2025/4/14 11:52:23,36.53,-13.18,14,84.75,19.54,6
2025/4/14 11:52:26,36.43,-13.19,14,84.98,20.45,6
2025/4/14 11:52:29,36.47,-13.11,14,84.9,19.76,6
2025/4/14 11:52:32,36.67,-13.45,14,84.81,19.7,8
2025/4/14 11:52:35,36.44,-13.17,14,84.99,20.3,7
2025/4/14 11:52:38,36.3,-13.06,13,84.73,19.73,6
2025/4/14 11:52:41,36.48,-13.07,13,84.64,19.55,4
2025/4/14 11:52:44,36.46,-13.15,13,84.81,20.1,5
2025/4/14 11:52:47,36.42,-13.16,13,84.88,19.18,5
2025/4/14 11:52:50,36.43,-13.21,14,84.72,19.78,4
2025/4/14 11:52:53,36.49,-12.94,15,84.92,20.34,5
2025/4/14 11:52:56,36.49,-13.19,13,84.61,19.46,5
2025/4/14 11:52:59,36.5,-13.06,13,84.79,19.76,6
2025/4/14 11:53:02,36.45,-13.16,14,84.86,19.92,6
2025/4/14 11:53:05,36.39,-13.08,14,84.82,19.11,5
2025/4/14 11:53:08,36.42,-13.1,13,84.76,19.83,5
2025/4/14 11:53:11,36.46,-13.15,15,84.76,19.22,8
2025/4/14 11:53:14,36.53,-13.3,14,84.61,20.04,5
2025/4/14 11:53:17,36.39,-13,14,84.72,20.19,6
2025/4/14 11:53:20,36.38,-13.2,13,84.81,19.43,8
2025/4/14 11:53:26,36.47,-13.11,14,84.55,20.7,5
2025/4/14 11:53:29,36.42,-13.04,12,84.81,18.89,6
2025/4/14 11:53:32,36.44,-13,14,84.24,19.18,7
2025/4/14 11:53:35,36.44,-13.14,13,84.74,19.55,8
2025/4/14 11:53:38,36.39,-12.92,13,84.59,19.3,6
2025/4/14 11:53:41,36.41,-12.95,14,84.95,19.59,6
2025/4/14 11:53:44,36.32,-13.18,14,84.66,19.73,7
2025/4/14 11:53:47,36.56,-13.21,13,84.88,20.11,8
2025/4/14 11:53:50,36.53,-13.07,13,84.85,19.4,6
2025/4/14 11:53:53,36.42,-13.04,14,84.84,18.89,5
2025/4/14 11:53:56,36.35,-13.2,13,84.84,19.58,7
2025/4/14 11:53:59,36.47,-13.3,14,84.71,19.02,6
2025/4/14 11:54:02,36.35,-13.3,14,84.57,19.46,5
2025/4/14 11:54:05,36.4,-13.21,12,84.6,19.2,4
2025/4/14 11:54:08,36.4,-13.37,13,84.62,19.62,4
2025/4/14 11:54:11,36.29,-13.33,13,84.89,19.38,6
2025/4/14 11:54:14,36.36,-13,15,84.78,18.87,6
2025/4/14 11:54:17,36.37,-13.15,14,84.87,19.74,5
2025/4/14 11:54:20,36.42,-13.01,15,84.73,19.09,7
2025/4/14 11:54:23,36.32,-13.05,15,84.7,19.58,8
2025/4/14 11:54:26,36.54,-13.04,14,85.04,19.41,6
2025/4/14 11:54:29,36.54,-13.33,16,84.73,19.44,4
2025/4/14 11:54:32,36.44,-12.91,13,84.84,20.22,6
2025/4/14 11:54:35,36.55,-13.19,14,84.66,19.82,5
2025/4/14 11:54:38,36.47,-13.24,14,84.63,18.77,4
2025/4/14 11:54:41,36.34,-13.12,13,84.66,19.43,6
2025/4/14 11:54:44,36.44,-13.06,14,84.76,19.83,5
2025/4/14 11:54:47,36.55,-13.03,14,84.62,19.15,7
2025/4/14 11:54:50,36.42,-13.14,14,84.65,19.35,7
2025/4/14 11:54:53,36.35,-13.08,12,84.54,18.51,7
2025/4/14 11:54:56,36.46,-13.12,13,84.7,18.53,8
